title,rating,year
Irklais per Atlanta,9.3,2024
Iron Man,8.3,2008
Harry Potter and the Deathly Hallows: Part II,8.3,2011
Spider-Man,8.3,2002
Mononoke-hime / Princess Mononoke,8.3,1997
How to Train Your Dragon,8.3,2010
Soul,8.3,2020
X-Men: Days of Future Past,8.3,2014
One Life,8.3,2023
Scarface,8.3,1983
Logan,8.3,2017
,8.3,1972
Guardians of the Galaxy,8.3,2014
Die Hard,8.3,1988
Joker,8.3,2019
Titanic,8.3,1997
Eternal Sunshine of the Spotless Mind,8.3,2004
Hacksaw Ridge,8.3,2016
,8.3,1976
The Gentlemen,8.3,2020
Cafarnaúm,8.3,2018
"Monsters, Inc.",8.3,2001
,8.3,1997
The Avengers,8.3,2012
Spy,7.2,2015
T2: Trainspotting,7.3,2017
Asterix: Le Domain de Dievx,7.4,2014
The Lego Batman Movie,7.5,2017
Beomjoе dosi 2,7.5,2022
Venom,7.5,2018
The Next Three Days,7.7,2010
Passengers,7.7,2016
Groundhog Day,8.3,1993
The Hobbit: The Desolation of Smaug,8.0,2013
Taken,8.0,2008
"Three Billboards Outside Ebbing, Missouri",8.0,2017
X-Men,8.0,2000
Contratiempo,8.0,2017
,8.0,1979
Bad Boys: Ride or Die,8.0,2024
Doctor Strange,8.0,2016
The Wolf of Wall Street,8.0,2013
Deadpool,8.0,2016
Harry Potter and the Sorcerer's Stone,8.0,2001
White Bird: A Wonder Story,8.0,2023
,8.0,1971
Skazki Gofmana,8.0,2022
Mulan,8.0,1998
The Roaring Twenties,8.0,1939
Tenkû no shiro Rapyuta / Castle in the Sky,8.0,1986
Kick-Ass,8.0,2009
Rush,8.0,2012
Harry Potter and the Deathly Hallows: Part I,8.0,2010
,8.0,1984
The King's Speech,8.0,2010
Up,8.1,2009
Oldboy / Oldeuboi,8.1,2003
Toy Story 3,8.1,2010
Дәстүр,8.1,2023
The Best Offer,8.1,2013
Sound of Freedom,8.1,2023
Blade II,8.1,2002
"Gde ti, Adam?",8.1,2019
Apocalypto,8.1,2006
,8.1,2024
Rocky,8.1,1976
The Truman Show,8.1,1998
Slumdog Millionaire,8.1,2008
Arthur the King,8.1,2024
Gran Turismo,8.1,2023
Shang-Chi and the Legend of the Ten Rings,8.1,2021
Harry Potter and the Goblet of Fire,8.1,2005
,8.1,1975
Rain Man,8.1,1988
How to Train Your Dragon 3,8.1,2018
Gisaengchung / Parasite,8.1,2019
The Mystery of the Third Planet,8.1,1981
Landfill Harmonic,8.1,2015
Black Swan,8.1,2010
Bakushû,8.1,1951
BTS: Bring The Soul. The movie,8.1,2019
The Fifth Element,8.1,1997
Re lie,8.1,2023
Indiana Jones And The Last Crusade,8.1,1989
Rapunzel,8.1,2010
X-Men 2,8.1,2003
"Welcome, or No Trespassing",8.1,1964
The Notebook,8.1,2004
American History X,8.1,1998
Mission: Impossible — Dead Reckoning Part One,8.1,2023
The Curious Case of Benjamin Button,8.1,2008
,8.1,2000
Captain America: The Winter Soldier,8.1,2014
Spider-Man 2,8.1,2004
Harry Potter and the Prisoner of Azkaban,8.1,2004
One Flew Over the Cockoo`s Nest,8.1,1975
Aladdin,8.1,1992
The Terminator,8.2,1984
Svet,8.1,2023
X-Men: First Class,8.2,2011
The Pursuit of Happyness,8.2,2006
Knives Out,8.2,2019
The Hobbit: An Unexpected Journey,8.2,2012
Edge of Tomorrow,8.2,2014
Агент Эмерсон,8.2,2019
The Batman,8.2,2022
,8.2,2017
Kimitachi wa Dou Ikiru ka / How Do You Live?,8.2,2023
The Father,8.2,2020
Gone Girl,8.2,2014
Captain America: Civil War,8.2,2016
Ratatouille,8.2,2007
Saving Private Ryan,8.2,1998
Once upon a Time in America,8.2,1983
Heat,8.2,1995
Knockin' on Heaven's Door,8.2,1997
Beauty and the Beast,8.2,1991
Requiem for a Dream,8.2,2000
The Game,8.2,1997
Thor: Ragnarök,8.2,2017
Guy Ritchie's The Covenant,8.2,2023
Zootopia,8.2,2016
Bohemian Rhapsody,8.2,2018
Avatar: The Way of Water,8.2,2022
Suzume no tojimari,8.2,2022
,8.2,1977
Violet Evergarden: The Movie,8.2,2020
Shrek,8.2,2001
Top Gun: Maverick,8.3,2022
John Wick: Chapter 4,8.2,2023
,8.3,1984
The Butterfly Effect,7.9,2004
Furiosa: A Mad Max Saga,8.3,2024
Le Fabuleux destin d Amelie Poulain,7.9,2001
Troy,7.9,2004
Avengers: Age of Ultron,7.9,2015
Prigovor,7.9,2024
Kill Bill: Vol. 2,7.9,2004
Edward Scissorhands,7.9,1990
Thor,7.9,2011
Star Wars: Episode III - Revenge of the Sith,7.9,2005
Sem chyornykh bumag,7.9,2024
Constantine,7.9,2005
Tenki no ko / Weathering With You,7.9,2019
Deadpool 2,7.9,2018
Ghost,7.9,1990
